smiles,antibiotic
CC(N)(Cc1cccc(c1)O)C(=O)O,0
COc1ccccc1CNS(=O)(=O)C,0
Cl.NC(Cc1ccccc1)C(=O)O,0
CCOc1ccc(cc1)C(C)(C)N,0
NCc1ccccc1,0
Nc1ccc(cc1)C(=O)N(CCO)CCO,0
CCOCC(=O)NS(=O)(=O)c1ccccc1,0
Nc1ccc(S(N)(=O)=O)cc1,0
FC(F)(F)Oc1ccccc1,0
CCOC(=O)[C@@H](N)Cc1ccccc1,0
Nc1ccc(C(=O)[O-])cc1.[K+],0
CN(C)[C@@H](CN)c1cccc(c1)C,0
NNS(=O)(=O)c1ccc(cc1)Cl,0
CCNC(=O)NC(=O)COC(=O)CNC(=O)COc1ccccc1,0
CC(=O)NS(=O)(=O)c1ccccc1,0
CCOc1ccc(NC(=O)CC(C)O)cc1,0
Cc1ccc(cc1)CN(CCO)CCO,0
NC(=O)NC(=O)Cc1ccccc1,0
NC(=O)NC(=O)Cc1ccccc1,0
CNS(=O)(=O)c1ccc(c(c1)C(=O)N)Cl,0
COc1ccccc1OC[C@@H](O)COC(=O)N,0
CC(C)Oc1ccc(cc1)CCN,0
Cc1ccc(S(=O)(=O)[N-]Cl)cc1.[Na+],0
N[C@@H](CC(=O)O)c1cccc(c1)[N+](=O)[O-],0
COc1ccc(cc1)C(=O)N,0
COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,0
COc1ccc(c(c1)[C@@H](O)CNC(=O)CN)OC,0
O=C(CNC(=O)c1ccc(Cl)cc1)NO,0
NC(=O)Cc1ccc(cc1)O,0
CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,0
COc1cc(C)c(C(=O)O)c(O)c1,0
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,0
COc1ccc(c(c1)S(=O)(=O)NCCO)OC,0
NCCc1cccc(c1)O,0
CNC(=O)C(=O)Nc1ccc(c(c1)F)C,0
Nc1ccc([As](=O)(O)O)cc1,0
CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,0
COc1cc(cc(c1OC)OC)CN,0
NNC(=O)CNC(=O)c1ccccc1,0
Cl.NCCc1ccccc1,0
Cc1ccccc1OCC(=O)NCC(=O)O,0
CC(C)c1ccc(cc1O)C,0
CCOC(=O)c1ccc(N)cc1,0
N[C@@H](CC(=O)Nc1ccc(cc1)Cl)C(=O)O,0
CCOC(=O)c1cccc(N)c1.CS(=O)(=O)O,0
CC(C)C(=O)NS(=O)(=O)c1ccc(cc1)N,0
CC(=O)Oc1ccccc1C(=O)O,0
CC(CN)(Cc1ccccc1Cl)C(=O)O,0
Nc1ccccc1C(=N)NO,0
CC(=O)Nc1ccc(cc1)C(=O)NN,0
COC(=O)c1ccc(cc1)C(=O)NN,0
NCCc1ccc(c(c1)O)O,0
CC[N+](C)(CC)Cc1ccccc1,0
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,0
CNCC(O)c1cccc(O)c1.Cl,0
C#CCN(C)C(C)Cc1ccccc1.Cl,0
CC(C)(N)c1ccc(cc1)F,0
CC/C(=C\C(=O)O)c1ccccc1,0
NNc1cccc(c1)C(=O)O,0
Cl.NCc1ccc(S(N)(=O)=O)cc1,0
CCN(CC)CCNC(C(=O)OCCC(C)C)c1ccccc1.Cl.Cl,0
NC(=O)CNC(=O)c1cccc(c1)Cl,0
CC(C)(C)NCCCCOc1ccc(cc1C(C)(C)C)Cl,0
COCCCOc1cc(ccc1OC)C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C(C)C)C(=O)NCC(C)(C)C(=O)N)C(C)C,0
NCc1ccc(cc1)S(=O)(=O)N,0
NCCNC(=O)Cc1ccc(cc1)O,0
CCCCCN(CCCCC)C(=O)C(CCC(=O)[O-])NC(=O)c1ccc(Cl)c(Cl)c1.[Na+],0
OC(=O)CNC(=O)c1ccccc1,0
CCN(CC)C(=O)c1ccc(O)c(OC)c1,0
C[C@@H](O)c1cccc(c1)C(F)(F)F,0
C=CCc1ccccc1OCC(O)CNC(C)C.Cl,0
Nc1ccc(cc1)C(=O)O,0
CCC(=O)NS(=O)(=O)c1ccccc1,0
NCCc1ccc(cc1)O,0
CC(C)(C)OC(=O)C[C@@H](CC=C)C(=O)O[C@H](CNC(=O)[C@H](CC=C)CC(=O)NCCO)c1ccccc1,0
Nc1ccc(cc1)S(=O)(=O)CCC#N,0
C[C@@H](N)CCc1ccc(cc1)Br,0
CC(=O)c1cccc(c1)C(F)(F)F,0
Nc1ccc(O)c(C(=O)O)c1,0
CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1.Cl,0
O[C@@H](C(=O)O)c1ccccc1,0
COC(=O)CNC(=O)c1ccccc1,0
Cc1ccc(cc1S(=O)(=O)N)[N+](=O)[O-],0
N=C(N)NS(=O)(=O)c1ccc(N)cc1,0
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC.Cl,0
CCCCNc1ccc(C(=O)OCCN(C)C)cc1.Cl,0
Fc1cc(ccc1CC#N)Cl,0
